grade,gene,Gene description,Phenotype description
41,CD6,CD6 molecule ,
41,IPMK,inositol polyphosphate multikinase ,Hereditary neuroendocrine tumor of small intestine
41,NXPH4,neurexophilin 4 ,
41,BRCA1,BRCA1 DNA repair associated ,Familial pancreatic carcinoma
41,CYSTM1,cysteine rich transmembrane module containing 1 ,
41,SAP18,Sin3A associated protein 18 ,
41,TIMD4,T cell immunoglobulin and mucin domain containing 4 ,
41,EPX,eosinophil peroxidase ,EOSINOPHIL PEROXIDASE DEFICIENCY
41,MYRIP,myosin VIIA and Rab interacting protein ,
41,EVA1C,eva-1 homolog C ,
41,MRC1,mannose receptor C-type 1 ,
41,TMPRSS15,transmembrane serine protease 15 ,Congenital enteropathy due to enteropeptidase deficiency
41,TRIM49B,tripartite motif containing 49B ,
41,NAF1,nuclear assembly factor 1 ribonucleoprotein ,
41,GNPDA1,glucosamine-6-phosphate deaminase 1 ,
41,EPC1,enhancer of polycomb homolog 1 ,
41,GLTP,glycolipid transfer protein ,
41,NR4A3,nuclear receptor subfamily 4 group A member 3 ,Extraskeletal myxoid chondrosarcoma
41,HAUS7,HAUS augmin like complex subunit 7 ,
41,ZSWIM9,zinc finger SWIM-type containing 9 ,
41,CLN6,CLN6 transmembrane ER protein ,CLN4A disease
41,MYOG,myogenin ,
41,SP5,Sp5 transcription factor ,
41,CPEB4,cytoplasmic polyadenylation element binding protein 4 ,
41,LPO,lactoperoxidase ,
41,IL1A,interleukin 1 alpha ,
41,ENPEP,glutamyl aminopeptidase ,
41,ABT1,activator of basal transcription 1 ,
41,SCEL,sciellin ,
41,COX10,cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 ,Isolated cytochrome C oxidase deficiency
41,ZFP36L2,ZFP36 ring finger protein like 2 ,
41,SBF1,SET binding factor 1 ,Charcot-Marie-Tooth disease type 4B3
41,VTI1A,vesicle transport through interaction with t-SNAREs 1A ,
41,MTSS2,MTSS I-BAR domain containing 2 ,
41,,novel protein,
41,PGBD1,piggyBac transposable element derived 1 ,
41,IL20RA,interleukin 20 receptor subunit alpha ,
41,ABO,"""ABO"," alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase [Source:HGNC Symbol;Acc:HGNC:79]"""
41,PILRA,paired immunoglobin like type 2 receptor alpha ,
41,SLC49A3,solute carrier family 49 member 3 ,
41,GIN1,gypsy retrotransposon integrase 1 ,
41,CORO6,coronin 6 ,
41,MRPS16,mitochondrial ribosomal protein S16 ,Combined oxidative phosphorylation defect type 2
41,MIS12,MIS12 kinetochore complex component ,
41,LRRC8B,leucine rich repeat containing 8 VRAC subunit B ,
41,SIAH3,siah E3 ubiquitin protein ligase family member 3 ,
41,FAM167B,family with sequence similarity 167 member B ,
41,TBCA,tubulin folding cofactor A ,
41,DSP,desmoplakin ,Carvajal syndrome
41,ARHGAP39,Rho GTPase activating protein 39 ,
41,GATA5,GATA binding protein 5 ,Familial atrial fibrillation
41,CFAP58,cilia and flagella associated protein 58 ,
41,TINAGL1,tubulointerstitial nephritis antigen like 1 ,
41,NNMT,nicotinamide N-methyltransferase ,
41,ZHX3,zinc fingers and homeoboxes 3 ,
41,CYGB,cytoglobin ,
41,RCHY1,ring finger and CHY zinc finger domain containing 1 ,
41,DRD5,dopamine receptor D5 ,ATTENTION DEFICIT-HYPERACTIVITY DISORDER
41,CACNG2,calcium voltage-gated channel auxiliary subunit gamma 2 ,Autosomal dominant non-syndromic intellectual disability
41,VPS35,VPS35 retromer complex component ,Hereditary late-onset Parkinson disease
41,SLFN5,schlafen family member 5 ,
41,CYTIP,cytohesin 1 interacting protein ,
41,CCN6,cellular communication network factor 6 ,Progressive pseudorheumatoid arthropathy of childhood
41,PPP1R15B,protein phosphatase 1 regulatory subunit 15B ,Primary microcephaly-mild intellectual disability-young-onset diabetes syndrome
41,FAM214A,family with sequence similarity 214 member A ,
41,EIF2S3,eukaryotic translation initiation factor 2 subunit gamma ,MEHMO syndrome
41,RPP40,ribonuclease P/MRP subunit p40 ,
41,AQP12A,aquaporin 12A ,
41,ST8SIA4,"""ST8 alpha-N-acetyl-neuraminide alpha-2","8-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10871]"""
41,SEL1L3,SEL1L family member 3 ,
41,TOX4,TOX high mobility group box family member 4 ,
41,ZNF792,zinc finger protein 792 ,
41,MMP11,matrix metallopeptidase 11 ,
41,PNPLA1,patatin like phospholipase domain containing 1 ,Congenital non-bullous ichthyosiform erythroderma
41,C1QTNF9B,C1q and TNF related 9B ,
41,IBTK,inhibitor of Bruton tyrosine kinase ,
41,MSMO1,methylsterol monooxygenase 1 ,Microcephaly-congenital cataract-psoriasiform dermatitis syndrome
41,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1 ,Facioscapulohumeral dystrophy
41,MIDEAS,mitotic deacetylase associated SANT domain protein ,
41,IGFL4,IGF like family member 4 ,
41,TFRC,transferrin receptor ,Combined immunodeficiency due to TFRC deficiency
41,SFXN1,sideroflexin 1 ,
41,NOL8,nucleolar protein 8 ,
41,TRIM4,tripartite motif containing 4 ,
41,NAPEPLD,N-acyl phosphatidylethanolamine phospholipase D ,
41,ARTN,artemin ,
41,ERO1B,endoplasmic reticulum oxidoreductase 1 beta ,
41,HADHA,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha ,Acute fatty liver of pregnancy
41,GPR85,G protein-coupled receptor 85 ,
41,PSAT1,phosphoserine aminotransferase 1 ,Neu-Laxova syndrome
41,EIF6,eukaryotic translation initiation factor 6 ,
41,RBMS2,RNA binding motif single stranded interacting protein 2 ,
41,MARCHF9,membrane associated ring-CH-type finger 9 ,
41,CHRNA9,cholinergic receptor nicotinic alpha 9 subunit ,
41,MYOM3,myomesin 3 ,
41,FBXO48,F-box protein 48 ,
41,TYW5,tRNA-yW synthesizing protein 5 ,
41,PROP1,PROP paired-like homeobox 1 ,Combined pituitary hormone deficiencies genetic forms
41,EIF4G2,eukaryotic translation initiation factor 4 gamma 2 ,
41,ZC3HAV1,"""zinc finger CCCH-type containing"," antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]"""
41,PPT2,palmitoyl-protein thioesterase 2 ,
41,PMEL,premelanosome protein ,
41,RPL39L,ribosomal protein L39 like ,
41,ANKRD36B,ankyrin repeat domain 36B ,
41,SUPT16H,"""SPT16 homolog"," facilitates chromatin remodeling subunit [Source:HGNC Symbol;Acc:HGNC:11465]"""
41,TTC9,tetratricopeptide repeat domain 9 ,
41,TMX4,thioredoxin related transmembrane protein 4 ,
41,FRG2C,FSHD region gene 2 family member C ,
41,CEACAM21,CEA cell adhesion molecule 21 ,
41,DPYD,dihydropyrimidine dehydrogenase ,1p21.3 microdeletion syndrome
41,FZD1,frizzled class receptor 1 ,
41,CPNE7,copine 7 ,
41,SH3GL3,"""SH3 domain containing GRB2 like 3"," endophilin A3 [Source:HGNC Symbol;Acc:HGNC:10832]"""
41,NT5C,"""5'", 3'-nucleotidase
41,SCLY,selenocysteine lyase ,
41,DCLK2,doublecortin like kinase 2 ,
41,FCHO1,FCH and mu domain containing endocytic adaptor 1 ,
41,IVL,involucrin ,
41,FNDC10,fibronectin type III domain containing 10 ,
41,RAB15,"""RAB15"," member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:20150]"""
41,TAC3,tachykinin precursor 3 ,Normosmic congenital hypogonadotropic hypogonadism
41,C10orf53,chromosome 10 open reading frame 53 ,
41,LRP11,LDL receptor related protein 11 ,
41,PPID,peptidylprolyl isomerase D ,
41,PCDHGA7,"""protocadherin gamma subfamily A"," 7 [Source:HGNC Symbol;Acc:HGNC:8705]"""
41,PIK3CA,"""phosphatidylinositol-4","5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]"""
41,CDC37L1,cell division cycle 37 like 1 ,
41,RIN2,Ras and Rab interactor 2 ,RIN2 syndrome
41,KCNIP4,potassium voltage-gated channel interacting protein 4 ,
41,SEC14L4,SEC14 like lipid binding 4 ,
41,CNFN,cornifelin ,
41,PUM3,pumilio RNA binding family member 3 ,
41,FHIT,fragile histidine triad diadenosine triphosphatase ,Hereditary clear cell renal cell carcinoma
41,CAPRIN1,cell cycle associated protein 1 ,AUTISM OR INTELLECTUAL DISABILITY
41,BBS1,Bardet-Biedl syndrome 1 ,Bardet-Biedl syndrome
41,HEATR9,HEAT repeat containing 9 ,
41,TGIF2-RAB5IF,TGIF2-RAB5IF readthrough ,
41,ZNF514,zinc finger protein 514 ,
41,DDX54,DEAD-box helicase 54 ,Intellectual Disability and Central Nervous System anomalies
41,PRPF38A,pre-mRNA processing factor 38A ,
41,RINL,Ras and Rab interactor like ,
41,CENPF,centromere protein F ,Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome
41,GOPC,golgi associated PDZ and coiled-coil motif containing ,Male infertility due to globozoospermia
41,SLC17A5,solute carrier family 17 member 5 ,Free sialic acid storage disease infantile form
41,ARPIN,actin related protein 2/3 complex inhibitor ,
41,FLNB,filamin B ,Atelosteogenesis type I
41,FOXO3,forkhead box O3 ,
41,ANKRD12,ankyrin repeat domain 12 ,
41,ZNF385B,zinc finger protein 385B ,
41,JUNB,"""JunB proto-oncogene"," AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]"""
41,PABPC1L,poly(A) binding protein cytoplasmic 1 like ,
41,VAV3,vav guanine nucleotide exchange factor 3 ,
41,MIEN1,migration and invasion enhancer 1 ,
41,TIA1,TIA1 cytotoxic granule associated RNA binding protein ,Distal myopathy Welander type
41,YPEL1,yippee like 1 ,
41,ZNF672,zinc finger protein 672 ,
41,ACTR1B,actin related protein 1B ,
41,PPP1R36,protein phosphatase 1 regulatory subunit 36 ,
41,RARS1,arginyl-tRNA synthetase 1 ,RARS-related autosomal recessive hypomyelinating leukodystrophy
41,PSG8,pregnancy specific beta-1-glycoprotein 8 ,
41,TP53TG3F,TP53 target 3 family member F ,
41,FAM114A1,family with sequence similarity 114 member A1 ,
41,CHEK2,checkpoint kinase 2 ,Familial prostate cancer
41,KRTCAP3,keratinocyte associated protein 3 ,
41,ZNF677,zinc finger protein 677 ,
41,GABRB3,gamma-aminobutyric acid type A receptor subunit beta3 ,Childhood absence epilepsy
41,DTNB,dystrobrevin beta ,
41,SLC5A7,solute carrier family 5 member 7 ,Distal hereditary motor neuropathy type 7
41,CERS4,ceramide synthase 4 ,
41,,"""novel protein"," VKORC1 and PRSS53 readthrough"""
41,GBA2,glucosylceramidase beta 2 ,Autosomal recessive cerebellar ataxia with late-onset spasticity
41,SCFD1,sec1 family domain containing 1 ,
41,WRNIP1,WRN helicase interacting protein 1 ,
41,IPO11,importin 11 ,
41,SLAMF7,SLAM family member 7 ,
41,TP53TG5,TP53 target 5 ,
41,PLK5,polo like kinase 5 (inactive) ,
41,PRKAR1B,protein kinase cAMP-dependent type I regulatory subunit beta ,PRKAR1B-related neurodegenerative dementia with intermediate filaments
41,SMN2,"""survival of motor neuron 2"," centromeric [Source:HGNC Symbol;Acc:HGNC:11118]"""
41,C4orf19,chromosome 4 open reading frame 19 ,
41,GNAI2,G protein subunit alpha i2 ,VENTRICULAR TACHYCARDIA FAMILIAL
41,MRS2,magnesium transporter MRS2 ,
41,ACOX2,acyl-CoA oxidase 2 ,BILE ACID SYNTHESIS DEFECT CONGENITAL 6
41,CRYBB3,crystallin beta B3 ,Early-onset anterior polar cataract
41,CYLC2,cylicin 2 ,
41,PRKCH,protein kinase C eta ,STROKE ISCHEMIC
41,PHYHD1,phytanoyl-CoA dioxygenase domain containing 1 ,
41,CHCHD2,coiled-coil-helix-coiled-coil-helix domain containing 2 ,PARKINSON DISEASE 22 AUTOSOMAL DOMINANT
41,YIF1A,"""Yip1 interacting factor homolog A"," membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:16688]"""
41,HHEX,hematopoietically expressed homeobox ,
41,ARHGAP17,Rho GTPase activating protein 17 ,
41,TMPRSS11E,transmembrane serine protease 11E ,
41,GMPR2,guanosine monophosphate reductase 2 ,
41,SAFB,scaffold attachment factor B ,
41,TNS2,tensin 2 ,
41,,novel protein,
41,CYP51A1,cytochrome P450 family 51 subfamily A member 1 ,Congenital cataract-severe neonatal hepatopathy-global developmental delay syndrome
41,F13A1,coagulation factor XIII A chain ,Congenital factor XIII deficiency
41,PRAMEF5,PRAME family member 5 ,
41,CYRIA,CYFIP related Rac1 interactor A ,
41,MYL9,myosin light chain 9 ,
41,GRAPL,GRB2 related adaptor protein like ,
41,YTHDC1,YTH domain containing 1 ,
41,PDE1C,phosphodiesterase 1C ,Autosomal dominant non-syndromic sensorineural deafness type DFNA
41,ZNF528,zinc finger protein 528 ,
41,EPHA5,EPH receptor A5 ,
41,CHST10,carbohydrate sulfotransferase 10 ,
41,CEACAM8,CEA cell adhesion molecule 8 ,
41,NDUFA5,NADH:ubiquinone oxidoreductase subunit A5 ,
41,CASP12,caspase 12 (gene/pseudogene) ,
41,LAMTOR4,"""late endosomal/lysosomal adaptor"," MAPK and MTOR activator 4 [Source:HGNC Symbol;Acc:HGNC:33772]"""
41,RIOK1,RIO kinase 1 ,
41,ZNF365,zinc finger protein 365 ,Narcolepsy type 1
41,PLA2G2C,phospholipase A2 group IIC ,
41,MFAP2,microfibril associated protein 2 ,
41,PRAMEF15,PRAME family member 15 ,
41,MAL,"""mal"," T cell differentiation protein [Source:HGNC Symbol;Acc:HGNC:6817]"""
41,LRRC61,leucine rich repeat containing 61 ,
41,TAF1D,"""TATA-box binding protein associated factor"," RNA polymerase I subunit D [Source:HGNC Symbol;Acc:HGNC:28759]"""
41,PLEKHG1,pleckstrin homology and RhoGEF domain containing G1 ,
41,POMGNT2,"""protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1","4-) [Source:HGNC Symbol;Acc:HGNC:25902]"""
41,FRA10AC1,FRA10A associated CGG repeat 1 ,
41,GMPR,guanosine monophosphate reductase ,
41,GPR156,G protein-coupled receptor 156 ,
41,HGS,hepatocyte growth factor-regulated tyrosine kinase substrate ,
41,PPP1R10,protein phosphatase 1 regulatory subunit 10 ,
41,DOCK4,dedicator of cytokinesis 4 ,
41,MOG,myelin oligodendrocyte glycoprotein ,Narcolepsy type 1
41,ITGB1BP2,integrin subunit beta 1 binding protein 2 ,
41,PRAMEF27,PRAME family member 27 ,
41,FOSL1,"""FOS like 1"," AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:13718]"""
41,SERTM1,serine rich and transmembrane domain containing 1 ,
41,C1orf112,chromosome 1 open reading frame 112 ,
41,NPY4R,neuropeptide Y receptor Y4 ,
41,CD46,CD46 molecule ,Atypical hemolytic uremic syndrome with complement gene abnormality
41,NECAP1,NECAP endocytosis associated 1 ,Undetermined early-onset epileptic encephalopathy
40,CACNG3,calcium voltage-gated channel auxiliary subunit gamma 3 ,
40,MSX2,msh homeobox 2 ,Craniosynostosis Boston type
40,CSNK2A1,casein kinase 2 alpha 1 ,OKUR-CHUNG NEURODEVELOPMENTAL SYNDROME
40,TMEM151A,transmembrane protein 151A ,
40,ATOH1,atonal bHLH transcription factor 1 ,
40,AMZ1,archaelysin family metallopeptidase 1 ,
40,TMEM18,transmembrane protein 18 ,
40,PAM,peptidylglycine alpha-amidating monooxygenase ,
40,C2orf88,chromosome 2 open reading frame 88 ,
40,CAPN8,calpain 8 ,
40,GSX2,GS homeobox 2 ,DIENCEPHALIC-MESENCEPHALIC JUNCTION DYSPLASIA SYNDROME 2
40,FAR1,fatty acyl-CoA reductase 1 ,Fatty acyl-CoA reductase 1 deficiency
40,AMER2,APC membrane recruitment protein 2 ,
40,IL20,interleukin 20 ,
40,CCNI2,cyclin I family member 2 ,
40,KRTAP9-7,keratin associated protein 9-7 ,
40,CDH6,cadherin 6 ,
40,METTL7B,methyltransferase like 7B ,
40,TCEAL5,transcription elongation factor A like 5 ,
40,PRAMEF6,PRAME family member 6 ,
40,LRRC8C,leucine rich repeat containing 8 VRAC subunit C ,
40,CAPZA1,capping actin protein of muscle Z-line subunit alpha 1 ,
40,RBM24,RNA binding motif protein 24 ,
40,GBX2,gastrulation brain homeobox 2 ,
40,KLK7,kallikrein related peptidase 7 ,
40,,novel protein,
40,CELF6,CUGBP Elav-like family member 6 ,
40,LYRM1,LYR motif containing 1 ,
40,TRIM45,tripartite motif containing 45 ,
40,GNA15,G protein subunit alpha 15 ,
40,DGCR8,DGCR8 microprocessor complex subunit ,VELOCARDIOFACIAL SYNDROME
40,NR1I2,nuclear receptor subfamily 1 group I member 2 ,
40,RETREG1,reticulophagy regulator 1 ,Hereditary sensory and autonomic neuropathy type 2
40,BATF2,basic leucine zipper ATF-like transcription factor 2 ,
40,IFI44L,interferon induced protein 44 like ,
40,PRKACB,protein kinase cAMP-activated catalytic subunit beta ,PRKACB-related Multiple Congenital Malformation Syndrome
40,USP45,ubiquitin specific peptidase 45 ,Leber congenital amaurosis
40,RAP2B,"""RAP2B"," member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9862]"""
40,UCK1,uridine-cytidine kinase 1 ,
40,DDX51,DEAD-box helicase 51 ,
40,KLF8,Kruppel like factor 8 ,NONSYNDROMIC MENTAL RETARDATION
40,CDH9,cadherin 9 ,
40,PRAMEF25,PRAME family member 25 ,
40,MTFR1L,mitochondrial fission regulator 1 like ,
40,ERMAP,erythroblast membrane associated protein (Scianna blood group) ,BLOOD GROUP--SCIANNA SYSTEM
40,COX15,cytochrome c oxidase assembly homolog COX15 ,Fatal infantile cytochrome C oxidase deficiency
40,AGRN,agrin ,Postsynaptic congenital myasthenic syndromes
40,TSR2,TSR2 ribosome maturation factor ,Blackfan-Diamond anemia
40,PACRGL,parkin coregulated like ,
40,NPAS1,neuronal PAS domain protein 1 ,
40,CCDC87,coiled-coil domain containing 87 ,
40,GNAS,GNAS complex locus ,Cushing syndrome due to macronodular adrenal hyperplasia
40,ZNF610,zinc finger protein 610 ,
40,ANK2,ankyrin 2 ,Romano-Ward syndrome
40,SDF4,stromal cell derived factor 4 ,
40,,novel transcript,
40,MYZAP,myocardial zonula adherens protein ,
40,TLR3,toll like receptor 3 ,Herpes simplex virus encephalitis
40,FFAR4,free fatty acid receptor 4 ,BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 10
40,GMFG,glia maturation factor gamma ,
40,HS3ST3B1,heparan sulfate-glucosamine 3-sulfotransferase 3B1 ,
40,ANKLE1,ankyrin repeat and LEM domain containing 1 ,
40,ABI3,ABI family member 3 ,
40,NDUFB3,NADH:ubiquinone oxidoreductase subunit B3 ,Isolated complex I deficiency
40,KBTBD3,kelch repeat and BTB domain containing 3 ,
40,DEUP1,deuterosome assembly protein 1 ,
40,ADH6,alcohol dehydrogenase 6 (class V) ,
40,FAM214B,family with sequence similarity 214 member B ,
40,LIN37,lin-37 DREAM MuvB core complex component ,
40,RPS19BP1,ribosomal protein S19 binding protein 1 ,
40,CFTR,CF transmembrane conductance regulator ,Aquagenic palmoplantar keratoderma
40,RHEB,"""Ras homolog"," mTORC1 binding [Source:HGNC Symbol;Acc:HGNC:10011]"""
40,BPIFA1,BPI fold containing family A member 1 ,
40,RBPJL,recombination signal binding protein for immunoglobulin kappa J region like ,
40,GOLGA8N,golgin A8 family member N ,
40,MFNG,MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase ,
40,TMEM241,transmembrane protein 241 ,
40,RBM48,RNA binding motif protein 48 ,
40,SLCO5A1,solute carrier organic anion transporter family member 5A1 ,
40,VWA3A,von Willebrand factor A domain containing 3A ,
40,NRG2,neuregulin 2 ,
40,ATAD3A,ATPase family AAA domain containing 3A ,Ocular anomalies-axonal neuropathy-developmental delay syndrome
40,ERICH1,glutamate rich 1 ,
40,CYTH2,cytohesin 2 ,
40,RNF224,ring finger protein 224 ,
40,HOXC11,homeobox C11 ,
40,MBOAT1,membrane bound O-acyltransferase domain containing 1 ,
40,ADORA1,adenosine A1 receptor ,
40,KCNQ5,potassium voltage-gated channel subfamily Q member 5 ,Autosomal dominant non-syndromic intellectual disability
40,CALHM1,calcium homeostasis modulator 1 ,
40,ASPH,aspartate beta-hydroxylase ,Facial dysmorphism-lens dislocation-anterior segment abnormalities-spontaneous filtering blebs syndrome
40,TFIP11,tuftelin interacting protein 11 ,
40,SURF4,surfeit 4 ,
40,NLGN1,neuroligin 1 ,AUTISM SUSCEPTIBILITY TO 20
40,CCDC38,coiled-coil domain containing 38 ,
40,NOXO1,NADPH oxidase organizer 1 ,
40,GPER1,G protein-coupled estrogen receptor 1 ,
40,COL7A1,collagen type VII alpha 1 chain ,Acral dystrophic epidermolysis bullosa
40,TMEM250,transmembrane protein 250 ,
40,,novel protein,
40,SMARCA2,"""SWI/SNF related", matrix associated
40,DSG4,desmoglein 4 ,Hypotrichosis simplex
40,PAK1IP1,PAK1 interacting protein 1 ,
40,CMTR1,cap methyltransferase 1 ,
40,TINAG,tubulointerstitial nephritis antigen ,
40,FLYWCH2,FLYWCH family member 2 ,
40,C1orf141,chromosome 1 open reading frame 141 ,
40,PARP12,poly(ADP-ribose) polymerase family member 12 ,
40,STK19,serine/threonine kinase 19 ,
40,PTDSS1,phosphatidylserine synthase 1 ,Lenz-Majewski hyperostotic dwarfism
40,MTHFD2L,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like ,
40,DHRS1,dehydrogenase/reductase 1 ,
40,DCAF10,DDB1 and CUL4 associated factor 10 ,
40,PLD6,phospholipase D family member 6 ,
40,ZFP42,ZFP42 zinc finger protein ,
40,HCRT,hypocretin neuropeptide precursor ,Narcolepsy type 1
40,AKR1A1,aldo-keto reductase family 1 member A1 ,
40,DDX25,DEAD-box helicase 25 ,
40,SAMD9L,sterile alpha motif domain containing 9 like ,Ataxia-Pancytopenia Syndrome
40,REM1,RRAD and GEM like GTPase 1 ,
40,STK17B,serine/threonine kinase 17b ,
40,BTD,biotinidase ,BIOTINIDASE DEFICIENCY
40,USP49,ubiquitin specific peptidase 49 ,
40,ASIC3,acid sensing ion channel subunit 3 ,
40,MIER3,MIER family member 3 ,
40,TBCEL,tubulin folding cofactor E like ,
40,C5orf38,chromosome 5 open reading frame 38 ,
40,SUCNR1,succinate receptor 1 ,
40,ARF1,ADP ribosylation factor 1 ,Periventricular nodular heterotopia
40,COL9A1,collagen type IX alpha 1 chain ,Autosomal recessive Stickler syndrome
40,NTAN1,N-terminal asparagine amidase ,
40,ARL6,ADP ribosylation factor like GTPase 6 ,Bardet-Biedl syndrome
40,TREML4,triggering receptor expressed on myeloid cells like 4 ,
40,GNAI1,G protein subunit alpha i1 ,GNAI1 syndrome
40,OR9A2,olfactory receptor family 9 subfamily A member 2 ,
40,LRRC14,leucine rich repeat containing 14 ,
40,FAM151B,family with sequence similarity 151 member B ,
40,POLR2C,RNA polymerase II subunit C ,
40,REXO5,RNA exonuclease 5 ,
40,,novel protein,
40,ANKRD53,ankyrin repeat domain 53 ,
40,UBTD2,ubiquitin domain containing 2 ,
40,MYLK2,myosin light chain kinase 2 ,NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy
40,ODAD3,outer dynein arm docking complex subunit 3 ,Primary ciliary dyskinesia
40,ZNF286A,zinc finger protein 286A ,
40,FSD1,fibronectin type III and SPRY domain containing 1 ,
40,RPA4,replication protein A4 ,
40,GTF2I,general transcription factor IIi ,Williams syndrome
40,FAH,fumarylacetoacetate hydrolase ,Tyrosinemia type 1
40,HAPLN1,hyaluronan and proteoglycan link protein 1 ,
40,IDO1,"""indoleamine 2","3-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:6059]"""
40,RPAP3,RNA polymerase II associated protein 3 ,
40,SRGAP2,SLIT-ROBO Rho GTPase activating protein 2 ,
40,STON1-GTF2A1L,STON1-GTF2A1L readthrough ,
40,ST6GAL2,"""ST6 beta-galactoside alpha-2","6-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10861]"""
40,GADD45GIP1,GADD45G interacting protein 1 ,
40,SSPN,sarcospan ,
40,PRRG4,proline rich and Gla domain 4 ,
40,AP5B1,adaptor related protein complex 5 subunit beta 1 ,
40,SPTSSA,serine palmitoyltransferase small subunit A ,
40,KIF20B,kinesin family member 20B ,
40,RRP9,"""ribosomal RNA processing 9"," U3 small nucleolar RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16829]"""
40,ECT2L,epithelial cell transforming 2 like ,
40,,novel protein,
40,LYL1,LYL1 basic helix-loop-helix family member ,
40,TPRXL,tetrapeptide repeat homeobox like (pseudogene) ,
40,SNCB,synuclein beta ,NON RARE IN EUROPE: Dementia with Lewy body
40,DTX3L,deltex E3 ubiquitin ligase 3L ,
40,CLEC1B,C-type lectin domain family 1 member B ,
40,PRSS12,serine protease 12 ,Autosomal recessive non-syndromic intellectual disability
40,LIMS2,LIM zinc finger domain containing 2 ,LIMS2-related limb-girdle muscular dystrophy
40,RAB32,"""RAB32"," member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9772]"""
40,LRRC70,leucine rich repeat containing 70 ,
40,GPR135,G protein-coupled receptor 135 ,
40,TSHR,thyroid stimulating hormone receptor ,Athyreosis
40,INHBB,inhibin subunit beta B ,
40,ZNF750,zinc finger protein 750 ,Seborrhea-like dermatitis with psoriasiform elements
40,PSEN1,presenilin 1 ,Behavioral variant of frontotemporal dementia
40,RCSD1,RCSD domain containing 1 ,
40,MTRR,5-methyltetrahydrofolate-homocysteine methyltransferase reductase ,Methylcobalamin deficiency type cblE
40,FGF12,fibroblast growth factor 12 ,Undetermined early-onset epileptic encephalopathy
40,BLID,"""BH3-like motif containing"," cell death inducer [Source:HGNC Symbol;Acc:HGNC:33495]"""
40,KCNS3,potassium voltage-gated channel modifier subfamily S member 3 ,
40,PEX2,peroxisomal biogenesis factor 2 ,Infantile Refsum disease
40,ADGRF4,adhesion G protein-coupled receptor F4 ,
40,STRIP1,striatin interacting protein 1 ,
40,GPR107,G protein-coupled receptor 107 ,
40,BHLHB9,basic helix-loop-helix family member b9 ,
40,RBP1,retinol binding protein 1 ,
40,NSA2,NSA2 ribosome biogenesis factor ,
40,NDUFB10,NADH:ubiquinone oxidoreductase subunit B10 ,Isolated complex I deficiency
40,,"""novel protein"," similar to PWP2 periodic tryptophan protein homolog (yeast) PWP2"""
40,UNC80,"""unc-80 homolog"," NALCN channel complex subunit [Source:HGNC Symbol;Acc:HGNC:26582]"""
40,ELMO1,engulfment and cell motility 1 ,
40,SPAST,spastin ,Autosomal dominant spastic paraplegia type 4
40,SRM,spermidine synthase ,
40,H3-3B,H3.3 histone B ,
40,MAFB,MAF bZIP transcription factor B ,Duane retraction syndrome
40,RABEP2,"""rabaptin"," RAB GTPase binding effector protein 2 [Source:HGNC Symbol;Acc:HGNC:24817]"""
40,ARSI,arylsulfatase family member I ,Autosomal recessive spastic paraplegia type 66
40,NXF3,nuclear RNA export factor 3 ,
40,XYLT2,xylosyltransferase 2 ,Spondylo-ocular syndrome
40,TTC8,tetratricopeptide repeat domain 8 ,Bardet-Biedl syndrome
40,EVC,EvC ciliary complex subunit 1 ,Acrofacial dysostosis Weyers type
40,AMBN,ameloblastin ,Hypoplastic amelogenesis imperfecta
40,PIK3C3,phosphatidylinositol 3-kinase catalytic subunit type 3 ,
40,PDCD6IP,programmed cell death 6 interacting protein ,
40,TMEM150C,transmembrane protein 150C ,
40,IRF6,interferon regulatory factor 6 ,Autosomal dominant popliteal pterygium syndrome
40,LTB4R,leukotriene B4 receptor ,
40,VNN3,vanin 3 ,
40,,"""novel protein"," POLR2J2-UPK3BL readthrough"""
40,KDR,kinase insert domain receptor ,NON RARE IN EUROPE: Infantile capillary hemangioma
40,PLAC9,placenta associated 9 ,
40,PAQR8,progestin and adipoQ receptor family member 8 ,
